Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle,Besonders betroffene Gebiete
31-03-2020,Baden-Württem­berg,12.334,+1.391,111,165,
31-03-2020,Bayern,14.810,+821,113,162,
31-03-2020,Berlin,2.575,+111,69,13,
31-03-2020,Brandenburg,798,+37,32,2,
31-03-2020,Bremen,294,+8,43,4,
31-03-2020,Hamburg,2.191,+138,119,9,
31-03-2020,Hessen,3.283,+192,52,17,
31-03-2020,Mecklenburg-Vor­pommern,366,+10,23,1,
31-03-2020,Niedersachsen,4.063,+331,51,34,
31-03-2020,Nordrhein-West­falen,13.225,+1.047,74,117,Landkreis Heinsberg
31-03-2020,Rhein­land-Pfalz,2.726,+142,67,19,
31-03-2020,Saarland,782,+76,79,7,
31-03-2020,Sachsen,1.882,+87,46,12,
31-03-2020,Sachsen-Anhalt,680,+88,31,6,
31-03-2020,Schles­wig-Holstein,1.120,+71,39,9,
31-03-2020,Thüringen,784,+65,37,6,
