Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle,Besonders betroffene Gebiete
27-03-2020,Baden-Württem­berg,8.161,+878,74,70,
27-03-2020,Bayern,9.481,+1.488,73,55,
27-03-2020,Berlin,1.955,+299,52,8,
27-03-2020,Brandenburg,537,+60,21,1,
27-03-2020,Bremen,241,+30,35,1,
27-03-2020,Hamburg,1.693,+428*,92,2,
27-03-2020,Hessen,2.323,+166,37,7,
27-03-2020,Mecklenburg-Vor­pommern,259,+15,16,,
27-03-2020,Niedersachsen,2.810,+463,35,10,
27-03-2020,Nordrhein-West­falen,9.235,+1.311,51,72,Landkreis Heinsberg
27-03-2020,Rhein­land-Pfalz,1.971,+155,48,8,
27-03-2020,Saarland,505,+72,51,2,
27-03-2020,Sachsen,1.305,+164,32,7,
27-03-2020,Sachsen-Anhalt,458,+40,21,2,
27-03-2020,Schles­wig-Holstein,812,+137,28,4,
27-03-2020,Thüringen,542,+74,25,4,
