Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle
14-04-2020,Baden-Württem­berg,25.040,+470,226,711
14-04-2020,Bayern,33.569,+554,257,872
14-04-2020,Berlin,4.668,+67,125,56
14-04-2020,Brandenburg,1.916,+36,76,40
14-04-2020,Bremen,492,+6,72,20
14-04-2020,Hamburg,3.808,+38,207,59
14-04-2020,Hessen,6.183,+69,99,147
14-04-2020,"Mecklenburg-
Vor­pommern",619,+1,38,11
14-04-2020,Niedersachsen,7.885,+162,99,211
14-04-2020,Nordrhein-West­falen,25.300,+417,141,545
14-04-2020,Rhein­land-Pfalz,4.880,+70,119,70
14-04-2020,Saarland,2.112,+33,213,52
14-04-2020,Sachsen,3.751,+96,92,70
14-04-2020,Sachsen-Anhalt,1.207,+14,55,25
14-04-2020,Schles­wig-Holstein,2.164,+30,75,49
14-04-2020,Thüringen,1.504,+19,70,31
