Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle
08-04-2020,Baden-Württem­berg,20.680,+539,187,464
08-04-2020,Bayern,27.564,+1.401,211,564
08-04-2020,Berlin,4.028,+183,107,32
08-04-2020,Brandenburg,1.472,+88,59,22
08-04-2020,Bremen,424,+25,62,10
08-04-2020,Hamburg,3.165,+106,172,23
08-04-2020,Hessen,4.965,+128,79,84
08-04-2020,"Mecklenburg-
Vor­pommern",555,+24,34,11
08-04-2020,Niedersachsen,6.385,+185,80,121
08-04-2020,Nordrhein-West­falen,20.929,+709,117,348
08-04-2020,Rhein­land-Pfalz,4.148,+156,102,45
08-04-2020,Saarland,1.637,+105,165,23
08-04-2020,Sachsen,3.144,+147,77,50
08-04-2020,Sachsen-Anhalt,1.020,+33,46,16
08-04-2020,Schles­wig-Holstein,1.827,+97,63,28
08-04-2020,Thüringen,1.285,+77,60,20
