Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle
05-04-2020,Baden-Württem­berg,18.614,+1.600,168,367
05-04-2020,Bayern,23.846,+1.938,182,396
05-04-2020,Berlin,3.613,+142,96,24
05-04-2020,Brandenburg,1.305,+94,52,17
05-04-2020,Bremen,394,+40,58,6
05-04-2020,Hamburg,2.945,+248,160,19
05-04-2020,Hessen,4.575,+296,73,56
05-04-2020,"Mecklenburg-
Vor­pommern",523,+22,32,5
05-04-2020,Niedersachsen,5.712,+141,72,89
05-04-2020,Nordrhein-West­falen,18.735,+850,104,245
05-04-2020,Rhein­land-Pfalz,3.663,+159,90,32
05-04-2020,Saarland,1.358,+93,137,14
05-04-2020,Sachsen,2.741,+150,67,32
05-04-2020,Sachsen-Anhalt,919,+23,42,12
05-04-2020,Schles­wig-Holstein,1.631,+72,56,18
05-04-2020,Thüringen,1.140,+68,53,10
