Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle
09-04-2020,Baden-Württem­berg,21.603,+923,195,519
09-04-2020,Bayern,28.827,+1.263,220,635
09-04-2020,Berlin,4.202,+174,112,37
09-04-2020,Brandenburg,1.578,+106,63,30
09-04-2020,Bremen,445,+21,65,11
09-04-2020,Hamburg,3.320,+155,180,44
09-04-2020,Hessen,5.242,+277,84,100
09-04-2020,"Mecklenburg-
Vor­pommern",572,+17,36,11
09-04-2020,Niedersachsen,6.804,+419,85,141
09-04-2020,Nordrhein-West­falen,21.961,+1.032,122,384
09-04-2020,Rhein­land-Pfalz,4.336,+188,106,50
09-04-2020,Saarland,1.693,+56,171,23
09-04-2020,Sachsen,3.261,+117,80,52
09-04-2020,Sachsen-Anhalt,1.075,+55,49,16
09-04-2020,Schles­wig-Holstein,1.932,+105,67,34
09-04-2020,Thüringen,1.351,+66,63,20
