Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle
12-04-2020,Baden-Württem­berg,24.078,+461,218,649
12-04-2020,Bayern,32.282,+829,247,786
12-04-2020,Berlin,4.567,+109,122,50
12-04-2020,Brandenburg,1.857,+93,74,38
12-04-2020,Bremen,480,+11,70,15
12-04-2020,Hamburg,3.742,+79,203,56
12-04-2020,Hessen,5.859,+51,94,123
12-04-2020,"Mecklenburg-
Vor­pommern",605,+4,38,11
12-04-2020,Niedersachsen,7.602,+259,95,189
12-04-2020,Nordrhein-West­falen,24.267,+623,135,495
12-04-2020,Rhein­land-Pfalz,4.734,+112,116,64
12-04-2020,Saarland,2.058,+42,208,43
12-04-2020,Sachsen,3.600,+35,88,67
12-04-2020,Sachsen-Anhalt,1.166,+31,53,21
12-04-2020,Schles­wig-Holstein,2.118,+53,73,41
12-04-2020,Thüringen,1.464,+29,68,25
