Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle,Besonders betroffene Gebiete
26-03-2020,Baden-Württem­berg,7.283,+1.214,66,56,
26-03-2020,Bayern,7.993,+1.435,61,47,
26-03-2020,Berlin,1.656,+228,44,4,
26-03-2020,Brandenburg,477,+48,19,1,
26-03-2020,Bremen,211,+11,31,1,
26-03-2020,Hamburg,1.265,+3*,69,,
26-03-2020,Hessen,2.157,+403,34,6,
26-03-2020,Mecklenburg-Vor­pommern,244,+26,15,,
26-03-2020,Niedersachsen,2.347,+207,29,8,
26-03-2020,Nordrhein-West­falen,7.924,+727,44,53,Landkreis Heinsberg
26-03-2020,Rhein­land-Pfalz,1.816,+225,44,6,
26-03-2020,Saarland,433,+30,44,2,
26-03-2020,Sachsen,1.141,+182,28,7,
26-03-2020,Sachsen-Anhalt,418,+43,19,1,
26-03-2020,Schles­wig-Holstein,675,+98,23,3,
26-03-2020,Thüringen,468,+74,22,3,
