Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle
11-04-2020,Baden-Württem­berg,23.617,+1.184,213,622
11-04-2020,Bayern,31.453,+1.090,241,747
11-04-2020,Berlin,4.458,+109,119,46
11-04-2020,Brandenburg,1.764,+73,70,37
11-04-2020,Bremen,469,+15,69,15
11-04-2020,Hamburg,3.663,+112,199,56
11-04-2020,Hessen,5.808,+114,93,120
11-04-2020,"Mecklenburg-
Vor­pommern",601,+15,37,11
11-04-2020,Niedersachsen,7.343,+229,92,171
11-04-2020,Nordrhein-West­falen,23.644,+616,132,472
11-04-2020,Rhein­land-Pfalz,4.622,+182,113,59
11-04-2020,Saarland,2.016,+162,204,41
11-04-2020,Sachsen,3.565,+163,87,65
11-04-2020,Sachsen-Anhalt,1.135,+14,51,18
11-04-2020,Schles­wig-Holstein,2.065,+36,71,39
11-04-2020,Thüringen,1.435,+19,67,25
