Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle,Besonders betroffene Gebiete
28-03-2020,Baden-Württem­berg,9.781,+1.620,88,101,
28-03-2020,Bayern,11.150,+1.669,85,77,
28-03-2020,Berlin,2.161,+206,58,8,
28-03-2020,Brandenburg,645,+108,26,1,
28-03-2020,Bremen,260,+19,38,2,
28-03-2020,Hamburg,1.765,+72,96,2,
28-03-2020,Hessen,2.604,+281,42,9,
28-03-2020,Mecklenburg-Vor­pommern,308,+49,19,,
28-03-2020,Niedersachsen,3.150,+340,39,12,
28-03-2020,Nordrhein-West­falen,10.607,+1.372,59,80,Landkreis Heinsberg
28-03-2020,Rhein­land-Pfalz,2.212,+241,54,11,
28-03-2020,Saarland,550,+45,56,2,
28-03-2020,Sachsen,1.432,+127,35,9,
28-03-2020,Sachsen-Anhalt,458,+0 *,21,2,
28-03-2020,Schles­wig-Holstein,915,+103,32,4,
28-03-2020,Thüringen,584,+42,27,5,
