Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle
13-04-2020,Baden-Württem­berg,24.570,+492,222,677
13-04-2020,Bayern,33.015,+733,252,820
13-04-2020,Berlin,4.601,+34,123,51
13-04-2020,Brandenburg,1.880,+23,75,38
13-04-2020,Bremen,486,+6,71,17
13-04-2020,Hamburg,3.770,+28,205,56
13-04-2020,Hessen,6.114,+255,98,135
13-04-2020,"Mecklenburg-
Vor­pommern",618,+13,38,11
13-04-2020,Niedersachsen,7.723,+121,97,201
13-04-2020,Nordrhein-West­falen,24.883,+616,139,518
13-04-2020,Rhein­land-Pfalz,4.810,+76,118,68
13-04-2020,Saarland,2.079,+21,210,44
13-04-2020,Sachsen,3.655,+55,90,68
13-04-2020,Sachsen-Anhalt,1.193,+27,54,24
13-04-2020,Schles­wig-Holstein,2.134,+16,74,44
13-04-2020,Thüringen,1.485,+21,69,27
