Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle
19-04-2020,Baden-Württem­berg,27.883,+625,252,968
19-04-2020,Bayern,37.407,+526,286,1.256
19-04-2020,Berlin,5.159,+93,138,92
19-04-2020,Brandenburg,2.221,+60,88,66
19-04-2020,Bremen,585,+18,86,25
19-04-2020,Hamburg,4.167,+49,226,91
19-04-2020,Hessen,7.108,+192,113,230
19-04-2020,"Mecklenburg-
Vor­pommern",651,+6,40,15
19-04-2020,Niedersachsen,8.797,+148,110,288
19-04-2020,Nordrhein-West­falen,28.471,+465,159,814
19-04-2020,Rhein­land-Pfalz,5.432,+108,133,106
19-04-2020,Saarland,2.303,+14,233,91
19-04-2020,Sachsen,4.190,+50,103,107
19-04-2020,Sachsen-Anhalt,1.350,+35,61,30
19-04-2020,Schles­wig-Holstein,2.417,+30,83,62
19-04-2020,Thüringen,1.756,+39,82,53
