Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle
04-04-2020,Baden-Württem­berg,17.014,+955,154,316
04-04-2020,Bayern,21.908,+1.671,168,349
04-04-2020,Berlin,3.471,+269,93,22
04-04-2020,Brandenburg,1.211,+136,48,12
04-04-2020,Bremen,354,+13,52,6
04-04-2020,Hamburg,2.697,+101,146,16
04-04-2020,Hessen,4.279,+286,68,42
04-04-2020,"Mecklenburg-
Vor­pommern",501,+33,31,5
04-04-2020,Niedersachsen,5.571,+490,70,85
04-04-2020,Nordrhein-West­falen,17.885,+1.279,100,200
04-04-2020,Rhein­land-Pfalz,3.504,+142,86,29
04-04-2020,Saarland,1.265,+186,128,14
04-04-2020,Sachsen,2.591,+255,64,24
04-04-2020,Sachsen-Anhalt,896,+60,41,11
04-04-2020,Schles­wig-Holstein,1.559,+116,54,17
04-04-2020,Thüringen,1.072,+90,50,10
