Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle
06-04-2020,Baden-Württem­berg,19.395,+781,175,387
06-04-2020,Bayern,24.974,+1.128,191,437
06-04-2020,Berlin,3.670,+57,98,26
06-04-2020,Brandenburg,1.345,+40,54,19
06-04-2020,Bremen,397,+3,58,8
06-04-2020,Hamburg,2.993,+48,163,19
06-04-2020,Hessen,4.674,+99,75,61
06-04-2020,"Mecklenburg-
Vor­pommern",528,+5,33,6
06-04-2020,Niedersachsen,5.960,+248,75,92
06-04-2020,Nordrhein-West­falen,19.384,+649,108,255
06-04-2020,Rhein­land-Pfalz,3.882,+219,95,32
06-04-2020,Saarland,1.483,+125,150,14
06-04-2020,Sachsen,2.903,+162,71,34
06-04-2020,Sachsen-Anhalt,956,+37,43,12
06-04-2020,Schles­wig-Holstein,1.671,+40,58,20
06-04-2020,Thüringen,1.176,+36,55,12
