Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle
17-04-2020,Baden-Württem­berg,26.543,+662,240,872
17-04-2020,Bayern,36.027,+885,276,1.137
17-04-2020,Berlin,4.945,+97,132,84
17-04-2020,Brandenburg,2.120,+62,84,60
17-04-2020,Bremen,556,+49,81,22
17-04-2020,Hamburg,4.005,+52,218,84
17-04-2020,Hessen,6.705,+235,107,197
17-04-2020,"Mecklenburg-
Vor­pommern",634,+0,39,13
17-04-2020,Niedersachsen,8.442,+254,106,274
17-04-2020,Nordrhein-West­falen,27.030,+647,151,726
17-04-2020,Rhein­land-Pfalz,5.211,+124,128,92
17-04-2020,Saarland,2.254,+53,228,76
17-04-2020,Sachsen,4.048,+93,99,95
17-04-2020,Sachsen-Anhalt,1.279,+31,58,28
17-04-2020,Schles­wig-Holstein,2.349,+55,81,59
17-04-2020,Thüringen,1.682,+81,78,49
