Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle
03-04-2020,Baden-Württem­berg,16.059,+1.397,145,285
03-04-2020,Bayern,20.237,+1.741,155,307
03-04-2020,Berlin,3.202,+232,85,20
03-04-2020,Brandenburg,1.075,+80,43,9
03-04-2020,Bremen,341,+14,50,6
03-04-2020,Hamburg,2.596,+190,141,16
03-04-2020,Hessen,3.993,+286,64,33
03-04-2020,"Mecklenburg-
Vor­pommern",468,+30,29,4
03-04-2020,Niedersachsen,5.081,+386,64,65
03-04-2020,Nordrhein-West­falen,16.606,+1.179,93,178
03-04-2020,Rhein­land-Pfalz,3.362,+230,82,26
03-04-2020,Saarland,1.079,+59,109,12
03-04-2020,Sachsen,2.336,+153,57,21
03-04-2020,Sachsen-Anhalt,836,+32,38,11
03-04-2020,Schles­wig-Holstein,1.443,+108,50,15
03-04-2020,Thüringen,982,+57,46,9
