Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle,Besonders betroffene Gebiete
25-03-2020,Baden-Württem­berg,6.069,+721,55,37,
25-03-2020,Bayern,6.558,+804,50,37,
25-03-2020,Berlin,1.428,+208,38,2,
25-03-2020,Brandenburg,429,+86,17,1,
25-03-2020,Bremen,200,+17,29,,
25-03-2020,Hamburg,1.262,+219,69,,
25-03-2020,Hessen,1.754,+134,28,4,
25-03-2020,Mecklenburg-Vor­pommern,218,+19,14,,
25-03-2020,Niedersachsen,2.140,+376,27,7,
25-03-2020,Nordrhein-West­falen,7.197,+879,40,43,Landkreis Heinsberg
25-03-2020,Rhein­land-Pfalz,1.591,+221,39,5,
25-03-2020,Saarland,403,+66,41,2,
25-03-2020,Sachsen,959,+148,24,6,
25-03-2020,Sachsen-Anhalt,375,+54,17,1,
25-03-2020,Schles­wig-Holstein,577,+99,20,3,
25-03-2020,Thüringen,394,+67,18,1,
