Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle
01-04-2020,Baden-Württem­berg,13.410,+1.076,121,197
01-04-2020,Bayern,16.497,+1.687,126,225
01-04-2020,Berlin,2.754,+179,73,16
01-04-2020,Brandenburg,881,+83,35,4
01-04-2020,Bremen,311,+17,46,5
01-04-2020,Hamburg,2.311,+120,126,14
01-04-2020,Hessen,3.445,+162,55,21
01-04-2020,"Mecklenburg-
Vor­pommern",406,+40,25,3
01-04-2020,Niedersachsen,4.382,+319,55,42
01-04-2020,Nordrhein-West­falen,14.351,+1.126,80,134
01-04-2020,Rhein­land-Pfalz,2.899,+173,71,23
01-04-2020,Saarland,829,+47,84,8
01-04-2020,Sachsen,2.034,+152,50,17
01-04-2020,Sachsen-Anhalt,750,+70,34,7
01-04-2020,Schles­wig-Holstein,1.246,+126,43,10
01-04-2020,Thüringen,860,+76,40,6
