Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle,Besonders betroffene Gebiete
30-03-2020,Baden-Württem­berg,10.943,+1.149,99,119,
30-03-2020,Bayern,13.989,+1.108,107,127,
30-03-2020,Berlin,2.464,+104,66,11,
30-03-2020,Brandenburg,761,+40,30,2,
30-03-2020,Bremen,286,+11,42,2,
30-03-2020,Hamburg,2.053,+207,112,5,
30-03-2020,Hessen,3.091,+486,49,13,
30-03-2020,Mecklenburg-Vor­pommern,356,+8,22,1,
30-03-2020,Niedersachsen,3.732,+282,47,26,
30-03-2020,Nordrhein-West­falen,12.178,+778,68,101,Landkreis Heinsberg
30-03-2020,Rhein­land-Pfalz,2.584,+188,63,18,
30-03-2020,Saarland,706,+146,71,7,
30-03-2020,Sachsen,1.795,+178,44,9,
30-03-2020,Sachsen-Anhalt,592,+0*,27,2,
30-03-2020,Schles­wig-Holstein,1.049,+44,36,7,
30-03-2020,Thüringen,719,+22,34,5,
