Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle
07-04-2020,Baden-Württem­berg,20.141,+746,182,433
07-04-2020,Bayern,26.163,+1.189,200,481
07-04-2020,Berlin,3.845,+175,103,28
07-04-2020,Brandenburg,1.384,+39,55,20
07-04-2020,Bremen,399,+2,58,9
07-04-2020,Hamburg,3.059,+66,166,20
07-04-2020,Hessen,4.837,+163,77,73
07-04-2020,"Mecklenburg-
Vor­pommern",531,+3,33,8
07-04-2020,Niedersachsen,6.200,+240,78,111
07-04-2020,Nordrhein-West­falen,20.220,+836,113,282
07-04-2020,Rhein­land-Pfalz,3.992,+110,98,34
07-04-2020,Saarland,1.532,+49,155,16
07-04-2020,Sachsen,2.997,+94,73,38
07-04-2020,Sachsen-Anhalt,987,+31,45,12
07-04-2020,Schles­wig-Holstein,1.730,+59,60,24
07-04-2020,Thüringen,1.208,+32,56,18
