Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle
02-04-2020,Baden-Württem­berg,14.662,+1.252,132,241
02-04-2020,Bayern,18.496,+1.999,141,268
02-04-2020,Berlin,2.970,+216,79,19
02-04-2020,Brandenburg,995,+114,40,7
02-04-2020,Bremen,327,+16,48,6
02-04-2020,Hamburg,2.406,+95,131,14
02-04-2020,Hessen,3.707,+262,59,27
02-04-2020,"Mecklenburg-
Vor­pommern",438,+32,27,3
02-04-2020,Niedersachsen,4.695,+313,59,45
02-04-2020,Nordrhein-West­falen,15.427,+1.076,86,161
02-04-2020,Rhein­land-Pfalz,3.132,+233,77,26
02-04-2020,Saarland,1.020,+191,103,11
02-04-2020,Sachsen,2.183,+149,54,18
02-04-2020,Sachsen-Anhalt,804,+54,36,8
02-04-2020,Schles­wig-Holstein,1.335,+89,46,11
02-04-2020,Thüringen,925,+65,43,7
