Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle
10-04-2020,Baden-Württem­berg,22.433,+830,203,570
10-04-2020,Bayern,30.363,+1.536,232,703
10-04-2020,Berlin,4.349,+147,116,42
10-04-2020,Brandenburg,1.691,+113,67,37
10-04-2020,Bremen,454,+9,66,13
10-04-2020,Hamburg,3.551,+231,193,53
10-04-2020,Hessen,5.694,+452,91,111
10-04-2020,"Mecklenburg-
Vor­pommern",586,+14,36,11
10-04-2020,Niedersachsen,7.114,+310,89,161
10-04-2020,Nordrhein-West­falen,23.028,+1.067,128,446
10-04-2020,Rhein­land-Pfalz,4.440,+104,109,51
10-04-2020,Saarland,1.854,+161,187,36
10-04-2020,Sachsen,3.402,+141,83,59
10-04-2020,Sachsen-Anhalt,1.121,+46,51,18
10-04-2020,Schles­wig-Holstein,2.029,+97,70,38
10-04-2020,Thüringen,1.416,+65,66,24
