Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle,Besonders betroffene Gebiete
22-03-2020,Baden-Württem­berg,3.807,+139,34,21,
22-03-2020,Bayern,3.650,+690,28,21,
22-03-2020,Berlin,1.024,+158,27,1,
22-03-2020,Brandenburg,274,+20,11,,
22-03-2020,Bremen,165,+23,24,,
22-03-2020,Hamburg,872,+285,47,,
22-03-2020,Hessen,1.175,+95,19,2,
22-03-2020,Mecklenburg-Vor­pommern,172,+7,11,,
22-03-2020,Niedersachsen,1.306,+283,16,1,
22-03-2020,Nordrhein-West­falen,3.545,+3,20,6,Landkreis Heinsberg
22-03-2020,Rhein­land-Pfalz,1.053,+115,26,2,
22-03-2020,Saarland,187,0,19,,
22-03-2020,Sachsen,606,+39,15,,
22-03-2020,Sachsen-Anhalt,211,+23,10,,
22-03-2020,Schles­wig-Holstein,347,+39,12,1,
22-03-2020,Thüringen,216,+29,10,,
