Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle,Besonders betroffene Gebiete
23-03-2020,Baden-Württem­berg,3.811,+4,34,21,
23-03-2020,Bayern,4.892,+1.242,37,26,
23-03-2020,Berlin,1077,+53,29,1,
23-03-2020,Brandenburg,288,+14,11,,
23-03-2020,Bremen,170,+5,25,,
23-03-2020,Hamburg,943,+71,51,,
23-03-2020,Hessen,1347,+172,21,3,
23-03-2020,Mecklenburg-Vor­pommern,172,0,11,,
23-03-2020,Niedersachsen,1.483,+177,19,4,
23-03-2020,Nordrhein-West­falen,5.615,+2.070,31,28,Landkreis Heinsberg
23-03-2020,Rhein­land-Pfalz,1.177,+124,29,2,
23-03-2020,Saarland,200,+13,20,,
23-03-2020,Sachsen,653,+47,16,,
23-03-2020,Sachsen-Anhalt,212,+1,10,,
23-03-2020,Schles­wig-Holstein,383,+36,13,1,
23-03-2020,Thüringen,249,+33,12,,
