Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle
16-04-2020,Baden-Württem­berg,25.881,+443,234,802
16-04-2020,Bayern,35.142,+848,269,1.049
16-04-2020,Berlin,4.848,+126,129,74
16-04-2020,Brandenburg,2.058,+108,82,54
16-04-2020,Bremen,507,+7,74,21
16-04-2020,Hamburg,3.953,+84,215,80
16-04-2020,Hessen,6.470,+123,103,187
16-04-2020,"Mecklenburg-
Vor­pommern",634,+10,39,13
16-04-2020,Niedersachsen,8.188,+169,103,248
16-04-2020,Nordrhein-West­falen,26.383,+548,147,663
16-04-2020,Rhein­land-Pfalz,5.087,+83,125,87
16-04-2020,Saarland,2.201,+56,222,71
16-04-2020,Sachsen,3.955,+136,97,94
16-04-2020,Sachsen-Anhalt,1.248,+25,57,26
16-04-2020,Schles­wig-Holstein,2.294,+49,79,55
16-04-2020,Thüringen,1.601,+51,75,45
