Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle,Besonders betroffene Gebiete
24-03-2020,Baden-Württem­berg,5.348,+1.537,48,30,
24-03-2020,Bayern,5.754,+862,44,30,
24-03-2020,Berlin,1.220,+143,33,1,
24-03-2020,Brandenburg,343,+55,14,,
24-03-2020,Bremen,183,+13,27,,
24-03-2020,Hamburg,1.043,+100,57,,
24-03-2020,Hessen,1.620,+273,26,4,
24-03-2020,Mecklenburg-Vor­pommern,199,+27,12,,
24-03-2020,Niedersachsen,1.764,+281,22,6,
24-03-2020,Nordrhein-West­falen,6.318,+703,35,33,Landkreis Heinsberg
24-03-2020,Rhein­land-Pfalz,1.370,+193,34,5,
24-03-2020,Saarland,337,+137,34,1,
24-03-2020,Sachsen,811,+158,20,1,
24-03-2020,Sachsen-Anhalt,321,+109,15,,
24-03-2020,Schles­wig-Holstein,478,+95,17,2,
24-03-2020,Thüringen,327,+78,15,1,
